id,pIC50_mean,pIC50_median,smiles,pic50,assay_desc,assay_chembl_id,target_chembl_id,standard_value,standard_units,standard_type,human_agonists,pIC50
CHEMBL1358,5.709965388637482,5.709965388637482,C[C@]12CC[C@@H]3c4ccc(O)cc4C[C@@H](CCCCCCCCC[S+]([O-])CCCC(F)(F)C(F)(F)F)[C@H]3[C@@H]1CC[C@@H]2O,5.71,Agonist activity at PXR (unknown origin) expressed in human HepG2 cells assessed as induction of CYP3A4 transactivation after 16 hrs by luciferase reporter gene assay,CHEMBL2399371,CHEMBL3401,1950.0,nM,EC50,True,5.709965388637482
CHEMBL1428,6.4089353929735005,6.4089353929735005,COCCOC(=O)C1=C(C)NC(C)=C(C(=O)OC(C)C)C1c1cccc([N+](=O)[O-])c1,6.41,Agonist activity at PXR (unknown origin) expressed in human HepG2 cells assessed as induction of CYP3A4 transactivation after 16 hrs by luciferase reporter gene assay,CHEMBL2399371,CHEMBL3401,390.0,nM,EC50,True,6.4089353929735005
CHEMBL1445606,6.070581074285707,6.070581074285707,Cc1ccc(SC(=O)c2c(C)noc2-c2cc(C)on2)cc1,6.07,Antagonist activity at PXR (unknown origin) transfected in human HepG2 cells assessed as inhibition of rifampicin-induced reporter gene transcription,CHEMBL3295049,CHEMBL3401,850.0,nM,IC50,True,6.070581074285707
CHEMBL1617,5.3979400086720375,5.3979400086720375,CO[C@H]1/C=C/O[C@@]2(C)Oc3c(C)c(O)c4c(O)c(c5c(nc6cc(C)ccn65)c4c3C2=O)NC(=O)/C(C)=C\C=C\[C@H](C)[C@H](O)[C@@H](C)[C@@H](O)[C@@H](C)[C@H](OC(C)=O)[C@@H]1C,5.4,Agonist activity at human full-length PXR transfected in human HepG2 cells co-transfected with pSG5-RXR assessed as induction of transactivation by dual-luciferase reporter gene assay,CHEMBL3123846,CHEMBL3401,4000.0,nM,EC50,True,5.3979400086720375
CHEMBL2028663,7.086186147616283,7.086186147616283,CC(C)(C)c1nc(-c2cccc(NS(=O)(=O)c3c(F)cccc3F)c2F)c(-c2ccnc(N)n2)s1,7.09,Agonist activity at human Pregnane X receptor,CHEMBL5580752,CHEMBL3401,82.0,nM,EC50,True,7.086186147616283
CHEMBL2107430,5.214670164989233,5.214670164989233,Fc1ccc(C(c2ccccc2)(c2ccccc2F)n2ccnc2)cc1,5.21,Agonist activity at PXR (unknown origin) expressed in human HepG2 cells assessed as induction of CYP3A4 transactivation after 16 hrs by luciferase reporter gene assay,CHEMBL2399371,CHEMBL3401,6100.0,nM,EC50,True,5.214670164989233
CHEMBL2326845,7.4089353929735005,7.4089353929735005,CCN(c1ccc(C(O)(C(F)(F)F)C(F)(F)F)cc1)S(=O)(=O)c1ccccc1,7.41,Agonist activity at GAL4-fused human PXR expressed in HEK293T cells assessed as activation of basal transcriptional activity after 20 hrs by dual-glo luciferase reporter gene assay,CHEMBL3097478,CHEMBL3401,39.0,nM,EC50,True,7.4089353929735005
CHEMBL282489,5.0655015487564325,5.0655015487564325,CC[C@@H]1Cc2cc(O)ccc2C2=C1c1ccc(O)cc1C[C@H]2CC,5.07,Agonist activity at PXR (unknown origin) expressed in human HepG2 cells assessed as induction of CYP3A4 transactivation after 16 hrs by luciferase reporter gene assay,CHEMBL2399371,CHEMBL3401,8600.0,nM,EC50,True,5.0655015487564325
CHEMBL306764,5.578396073130169,5.578396073130169,CCCn1c(C)c(C(=O)c2cccc3ccccc23)c2ccccc21,5.58,Agonist activity at PXR (unknown origin) expressed in human HepG2 cells assessed as induction of CYP3A4 transactivation after 16 hrs by luciferase reporter gene assay,CHEMBL2399371,CHEMBL3401,2640.0,nM,EC50,True,5.578396073130169
CHEMBL30707,4.920818753952375,4.920818753952375,O=c1oc2cc(O)ccc2c2oc3cc(O)ccc3c12,4.92,Antagonist activity at human PXR transfected in African green monkey CV1 cells assessed as inhibition of SR12813-induced transactivation after 24 hrs by luciferase reporter gene assay,CHEMBL3294824,CHEMBL3401,12000.0,nM,IC50,True,4.920818753952375
