ID,SMILES,pEC50
CHEMBL1358,C[C@]12CC[C@@H]3c4ccc(O)cc4C[C@@H](CCCCCCCCC[S+]([O-])CCCC(F)(F)C(F)(F)F)[C@H]3[C@@H]1CC[C@@H]2O,5.709965388637482
CHEMBL1428,COCCOC(=O)C1=C(C)NC(C)=C(C(=O)OC(C)C)C1c1cccc([N+](=O)[O-])c1,6.4089353929735005
CHEMBL1445606,Cc1ccc(SC(=O)c2c(C)noc2-c2cc(C)on2)cc1,6.070581074285707
CHEMBL1617,CO[C@H]1/C=C/O[C@@]2(C)Oc3c(C)c(O)c4c(O)c(c5c(nc6cc(C)ccn65)c4c3C2=O)NC(=O)/C(C)=C\C=C\[C@H](C)[C@H](O)[C@@H](C)[C@@H](O)[C@@H](C)[C@H](OC(C)=O)[C@@H]1C,5.3979400086720375
CHEMBL2028663,CC(C)(C)c1nc(-c2cccc(NS(=O)(=O)c3c(F)cccc3F)c2F)c(-c2ccnc(N)n2)s1,7.086186147616283
CHEMBL2107430,Fc1ccc(C(c2ccccc2)(c2ccccc2F)n2ccnc2)cc1,5.214670164989233
CHEMBL2326845,CCN(c1ccc(C(O)(C(F)(F)F)C(F)(F)F)cc1)S(=O)(=O)c1ccccc1,7.4089353929735005
CHEMBL282489,CC[C@@H]1Cc2cc(O)ccc2C2=C1c1ccc(O)cc1C[C@H]2CC,5.0655015487564325
CHEMBL306764,CCCn1c(C)c(C(=O)c2cccc3ccccc23)c2ccccc21,5.578396073130169
CHEMBL30707,O=c1oc2cc(O)ccc2c2oc3cc(O)ccc3c12,4.920818753952375
CHEMBL3086045,Cc1ccccc1[C@H]1C[C@@H](NCc2ccc(Cl)cc2)CC[C@@H]1C(=O)N1CC(c2ccccc2)(c2ccccc2)C1,4.823908740944319
CHEMBL3094367,N#Cc1ccc(S(=O)(=O)N(CC(F)(F)F)c2ccc(C(O)(C(F)(F)F)C(F)(F)F)cc2)cc1,6.243363891754152
CHEMBL3094369,O=S(=O)(c1ccc(F)cc1)N(CC(F)(F)F)c1ccc(C(O)(C(F)(F)F)C(F)(F)F)cc1,6.7121982700697735
CHEMBL3105681,CCS(=O)(=O)c1ccc(CC(=O)Nc2nc(-c3cccc(Cl)c3)c(C(=O)c3ccccc3Cl)s2)cc1,6.585026652029182
CHEMBL3122141,CC(C)[C@H](C)CC[C@@H](C)[C@H]1CCC2=C3CC[C@H]4[C@H](C)[C@H](O)CC[C@]4(C)[C@H]3CC[C@@]21C,4.7447274948966935
CHEMBL3122144,C=C1[C@@H](O)CC[C@@]2(C)[C@H]1CCC1=C3CC[C@H]([C@H](C)CCC=C(C)C)[C@@]3(C)CC[C@@H]12,4.6777807052660805
CHEMBL3188597,O=C(O)CCNc1cc(N2CCc3ccccc3CC2)nc(-c2ccccn2)n1,4.301029995663981
CHEMBL3263710,CC(C)CN(Cc1ccc(-c2ccc(S(C)(=O)=O)cc2)cc1)S(=O)(=O)Cc1ccccc1,5.261439372640169
CHEMBL3287132,Cc1c(-c2ccc(O)c(O)c2)[nH]c2ccc(O)cc12,4.958607314841775
CHEMBL3287136,Cc1c(-c2ccc(O)c(O)c2)[nH]c2ccc(OCCCO)cc12,4.853871964321762
CHEMBL3314003,O=C(Nc1ccc2c(c1)N(S(=O)(=O)c1ccc(F)cc1)CCC2)c1c(F)cccc1Cl,6.086186147616283
CHEMBL3317833,CC(=O)N1CCN(c2ccc(CN(CC(C)C)S(=O)(=O)Cc3ccccc3)cc2)CC1,5.0
CHEMBL3317836,CC(=O)N1CCN(c2ccc(CN(C3CCC3)S(=O)(=O)Cc3ccccc3)cc2)CC1,5.0
CHEMBL3317840,CC(=O)N1CCN(c2ccc(CN(C(C)C)S(=O)(=O)Cc3ccccc3)cc2)CC1,5.0
CHEMBL3317843,CC(=O)N1CCN(c2ccc(CN(CC(F)(F)F)S(=O)(=O)Cc3ccccc3)cc2)CC1,5.0
CHEMBL3361050,CC(C)CN(Cc1ccccc1C(F)(F)F)S(=O)(=O)c1ccc(NC2CCN(S(C)(=O)=O)CC2)cc1,5.0
CHEMBL3361051,CC(C)CN(c1ccccc1C(F)(F)F)S(=O)(=O)c1ccc(NC2CCN(S(C)(=O)=O)CC2)cc1,5.0
CHEMBL3361058,CC(C)CN(c1ccc(F)cc1)S(=O)(=O)c1ccc(OC2CCN(S(C)(=O)=O)CC2)cc1,5.0
CHEMBL3361061,CC(C)CN(c1ccc(C#N)cc1)S(=O)(=O)c1ccc(OC2CCN(S(C)(=O)=O)CC2)cc1,5.0
CHEMBL3361064,CC(C)CN(Cc1ccccc1C(F)(F)F)S(=O)(=O)c1ccc(OC2CCN(S(C)(=O)=O)CC2)cn1,5.0
CHEMBL3596270,O=C(O)c1ccc(-c2nc(C(=O)c3c(Cl)cccc3C(F)(F)F)n3c2CCCC3)c(F)c1,5.0
CHEMBL3596276,O=C(O)c1ccc(-c2nc(C(=O)c3c(Cl)cccc3C3CC3)n3c2CCCC3)c(F)c1,5.0
CHEMBL3596279,O=C(O)c1ccc(-c2nc(C(=O)c3c(Cl)cccc3C3CC3)n3cccnc23)cc1O,5.0
CHEMBL3598141,O=C(O)c1ccc(-c2nc(C(=O)c3c(Cl)cccc3C(F)(F)F)n3ccccc23)cc1,5.0
CHEMBL3598148,O=C(O)c1ccc(-c2nc(C(=O)c3c(Cl)cccc3C(F)(F)F)n3ccccc23)cc1O,5.0
CHEMBL3598149,O=C(O)c1ccc(-c2nc(C(=O)c3c(Cl)cccc3C(F)(F)F)n3ccccc23)c(F)c1,5.0
CHEMBL3617295,O=C(Nc1ccc2c(c1)N(S(=O)(=O)c1ccc(F)cc1)CCC2)c1c(F)cccc1F,5.958607314841775
CHEMBL3617297,O=C(Nc1ccc2c(c1)N(S(=O)(=O)c1ccc(F)cc1)CC2)c1c(F)cccc1F,5.318758762624412
CHEMBL3617309,O=C(Nc1ccc2c(c1)N(S(=O)(=O)c1ccc(F)cc1)CCC2)c1ccccc1Cl,6.026872146400302
CHEMBL3632924,CC/C(=C(/CC)c1ccc(OCCO)cc1)c1ccc(OCCO)cc1,4.562249437179612
CHEMBL3643413,CCC(=O)N1CC[C@H](Nc2ncnc3c2CN(c2cnc(OC)c(C(F)(F)F)c2)CC3)C1,4.522878745280337
CHEMBL374478,CO[C@H]1/C=C/O[C@@]2(C)Oc3c(C)c(O)c4c(O)c(c(/C=N/N5CCN(C)CC5)c(O)c4c3C2=O)NC(=O)/C(C)=C\C=C\[C@H](C)[C@H](O)[C@@H](C)[C@@H](O)[C@@H](C)[C@H](OC(C)=O)[C@@H]1C,6.077659464119701
CHEMBL3781062,C[Si](C)(O)c1ccc(N(CC(F)(F)F)S(=O)(=O)c2ccccc2)cc1,6.128088389198124
CHEMBL3822473,COc1cccc(-c2nc(OC)c3ccccc3n2)c1,5.522878745280337
CHEMBL3822867,COc1cccc(-c2nc(SC)c3ccccc3n2)c1,5.455931955649724
CHEMBL3823873,COc1cccc(-c2nc3ccccc3c(=S)[nH]2)c1,6.0655015487564325
CHEMBL3945199,CC(C)(O)c1cn(-c2ccc(-c3cc(F)c(CO)c(S(C)(=O)=O)c3)cc2F)c(C(C)(C)c2c(Cl)cccc2Cl)n1,6.0
CHEMBL3953927,CC(C)(O)c1cn(-c2ccc(-c3cc(F)c(CO)c(S(C)(=O)=O)c3)cc2)c(C(C)(C)c2cccc(F)c2Cl)n1,5.522878745280337
CHEMBL411,CC/C(=C(/CC)c1ccc(O)cc1)c1ccc(O)cc1,4.835647144215563
CHEMBL4162171,C/C(=C\c1ccc2c(c1)N(S(=O)(=O)c1cccc(C(F)(F)F)c1)C[C@H](CCC(=O)O)O2)c1c(F)cccc1Cl,5.0
CHEMBL4172843,O=C(O)CC[C@H]1CN(S(=O)(=O)c2cccc(C(F)(F)F)c2)c2cc(/C=C/c3c(Cl)cccc3C(F)(F)F)ccc2O1,5.698970004336019
CHEMBL4239055,CCN(c1ccc([Si](C)(C)O)cc1)S(=O)(=O)c1ccccc1,5.721246399047171
CHEMBL4242807,C[Si](C)(O)c1ccc(N(Cc2ccccc2)S(=O)(=O)c2ccccc2)cc1,5.494850021680094
CHEMBL4243206,C[Si](C)(O)c1ccc(N(CCc2ccccc2)S(=O)(=O)c2ccccc2)cc1,4.853871964321762
CHEMBL4243271,CN(c1ccc([Si](C)(C)O)cc1)S(=O)(=O)c1ccccc1,5.468521082957745
CHEMBL4246995,COC(=O)CN(c1ccc([Si](C)(C)O)cc1)S(=O)(=O)c1ccccc1,5.853871964321762
CHEMBL4247044,CCCCN(c1ccc([Si](C)(C)O)cc1)S(=O)(=O)c1ccccc1,5.187086643357144
CHEMBL4247454,COCCN(c1ccc([Si](C)(C)O)cc1)S(=O)(=O)c1ccccc1,5.376750709602099
CHEMBL4249586,C[Si](C)(O)c1ccc(NS(=O)(=O)c2ccccc2)cc1,5.619788758288394
CHEMBL4303308,O=C(O)CCNc1cc(N2CCc3ccccc3CC2)nc(-c2cccnc2)n1,5.0
CHEMBL4435054,CC(C)N(C)Cc1cccc(F)c1CNc1cc(F)c(S(=O)(=O)Nc2cscn2)c(F)c1,5.3872161432802645
CHEMBL4439746,Clc1ccc(-c2nc3occn3c2/C=N/OCc2ccc(Cl)c(Cl)c2)cc1,5.886056647693163
CHEMBL4444000,O=S(=O)(Nc1cscn1)c1cc(Cl)c(NCc2c(F)cccc2CN2CCC2)cc1F,5.508638306165727
CHEMBL4445144,COc1ccc(F)c([C@H](C)Nc2cc(F)c(S(=O)(=O)Nc3cscn3)cc2Cl)c1,5.774690718274137
CHEMBL4448084,CC1(C)CCN1Cc1cccc(F)c1CNc1cc(F)c(S(=O)(=O)Nc2cscn2)cc1Cl,5.318758762624412
CHEMBL4449508,FC(F)(F)c1ccc(CO/N=C/c2c(-c3ccc4ccccc4c3)nc3occn23)cc1,5.698970004336019
CHEMBL4455701,CC1(C)CCC(C)(C)c2cc(-c3nc4sccn4c3/C=N/OCc3ccc(Cl)c(Cl)c3)ccc21,5.443697499232712
CHEMBL4457973,C[C@H](Nc1cc(F)c(S(=O)(=O)Nc2nccs2)cc1Cl)c1cccnc1,5.522878745280337
CHEMBL4459170,C[C@H](Nc1cc(F)c(S(=O)(=O)Nc2cscn2)c(F)c1)c1cc(C#N)ccc1F,6.200659450546418
CHEMBL4460028,CC1(C)CCN1Cc1cccc(F)c1CNc1cc(F)c(S(=O)(=O)Nc2cscn2)c(F)c1,4.928117992693875
CHEMBL4465050,Clc1ccc(CO/N=C/c2c(-c3ccc4ccccc4c3)nc3occn23)cc1Cl,5.229147988357856
CHEMBL4466858,C[C@H](Nc1cc(F)c(S(=O)(=O)Nc2cscn2)c(F)c1)c1ccccc1F,6.6020599913279625
CHEMBL4471825,CN(Cc1cccc(F)c1CNc1cc(F)c(S(=O)(=O)Nc2cscn2)c(F)c1)C(C)(C)C,5.026872146400302
