Smiles,pIC50
CN1C=C(F)C=C(CNC2=NC=C(CC3=CNC4=NC=C(Cl)C=C34)C=N2)C1=O,5.3
CN(C)C1=CC=C(CNC(=O)CC2(C)CC3(CCCCC3)OO2)C=C1,5.32
N[C@H]1CC[C@H](CN(C[C@H]2CC3=CC=CC=C3CN2)[C@H]2CCCC3=CC=CN=C32)CC1,5.0
CC[C@@H](C1=CC=C(C2=CC=C(F)C=C2)C=C1)N1CC[C@](CCCO)(C2=CC=CC=C2)OC1=O,5.82
CC1=NC2=C(CN(C3=CC=CC=C3)C2=O)C(C2=CC=C(Cl)C=C2Cl)=C1CN,5.92
ClC1=CC=C([C@@]2(COC3CCC3)[C@@H]3CNC[C@@H]32)C=C1Cl,5.52
CC1=CC=C(N2CC3=C(N=C(C)C(CN)=C3C3=CC=C(Cl)C=C3Cl)C2=O)C=C1,6.57
C=CCN1CC(=O)N2[C@@H](CC3=CC=C(O)C=C3)C(=O)N(CC3=CC=CC4=C3N(C)C=C4C(=O)N[C@H](C)C(=O)OC)C[C@@H]2N1C(=O)NCC1=CC=CC=C1,4.96
CC1(C)CCC(NC/C=C/CN(C[C@H]2CC3=CC=CC=C3CN2)[C@H]2CCCC3=CC=CN=C32)CC1,6.0
COC1=CC(C)=C2N=C3NN=C(C)C3=C(C(O)C3=CC=CN=C3)C2=C1,5.57
CC1=NC2=C(CN(CC3=CC=CC=C3)C2)C(C2=CC=C(Cl)C=C2Cl)=C1CN,6.29
COC1=CC=CC=C1C1=C2C(OC)=NC(N[C@H]3CC[C@H](NS(=O)(=O)CCC(F)(F)F)CC3)=NC2=NN1,5.2
COC1=CC=CC(CNC[C@@H](O)[C@H](CC2=CC=CC=C2)NC(=O)C2=CC(C(=O)N[C@H](C)C3=CC=CC=C3)=CC(N(C)S(C)(=O)=O)=C2)=C1,6.16
COC(=O)N[C@H](C(=O)N[C@@H](CC1=CC=CC=C1)C[C@H](O)[C@H](CC1=CC=C(C2=CN=CC(F)=C2)C=C1)NC(=O)[C@@H](NC(=O)OC)C(C)(C)C)C(C)(C)C,6.85
CNC(=O)C1=CC=C(C(=O)/N=C(\NC2=CC=C3OC(C)=CC3=C2)N[C@H]2CCCCN(CC(=O)N3CCCC3)C2=O)C=N1,4.75
COCC(=O)N[C@@H](CC1=CC=CC(C2=CSC=N2)=C1)[C@H](O)CN[C@H]1CC2(CCC2)OC2=NC=C(CC(C)(C)C)C=C21,7.0
COC1=CC=CC2=NC=CC(NC3=CC(C4=NC(C)=CC=C4F)=NC=C3C)=C12,5.2
CC(C)(CC(O)(CC1=CC2=CC(N3CCOCC3)=NC=C2N1)C(F)(F)F)C1=CC=CC=C1C(N)=O,5.52
O=C(NC1=CC=C(C2=CC=CN=C2)C=C1)NC1=CC=C(C2=CC=NC3=C2N=CN3)C=C1,6.66
C=CCN1CC(=O)N2[C@@H](CC3=CC=C(O)C=C3)C(=O)N(CC3=CC=CC4=C3N(C)C=C4C(=O)NN3CCN(C4CCCC4)CC3)C[C@@H]2N1C(=O)NCC1=CC=CC=C1,5.62
COC1=CC=C(NC(=O)N2C[C@H]3C[C@@H](C4=CC=CC=C4C(F)(F)F)C[C@H]3C2)C(C(=O)O)=C1,5.1
CC1=CN=C2NC=C(CC3=CN=C(NCC4=CC=CC(N5CCOCC5)=N4)N=C3)C2=C1,5.3
CNC(=O)C1=CC=CC(C2=CC=C(C(CN3CCOCC3)N(C)C(=O)CN3C(=O)C=NC4=CC(C)=C(C)C=C43)C=C2)=C1,5.05
CC1=CC=C2NC(SCC3=CC=CC=N3)=NC2=C1,5.44
O=S(=O)(NC1=NC=CS1)C1=CC(Cl)=C(NC[C@@H]2CCCNC2)C=C1F,4.7
CC1=CN(C2=CC=C3NC4=C(CCC3=C2)SC(CC2=CC=CC=C2)=N4)C=N1,6.16
CC(C)N1N=C(C(=O)NC2CC3CCC(C2)N3CC2(O)CCOCC2)C2=CC=CC=C21,4.57
COC1=CC(C[C@@H]2[C@@H](CC3=CC(OC)=C4OCOC4=C3)CO[C@@H]2O)=CC(OC)=C1OC,6.08
C1=CC=C2C[C@H](CN(CC3=CC=C(CNC4CCOCC4)C=C3)[C@H]3CCCC4=CC=CN=C43)NCC2=C1,6.36
C[C@@H]1CN(CC2=CC=C(C3=CC=CC(OC4=NC=C(F)C=C4C(=O)N[C@H]4CC[C@@H](NC(=O)C5=NN6C=CC=CC6=C5)CC4)=C3)C=C2)C[C@H](C)N1,6.4
CC1=CC=CC(NC(=O)C2=CC(OC3=CN=CC(F)=C3)=CN3C=CN=C23)=N1,5.68
O=C(NCCCNC1=CC(C2=CN(C3=CC=CC=C3)N=C2C2=CC=CC(O)=C2)=CC=N1)NC1=CC=C(F)C=C1,4.73
O=C(NC1=CC=C(F)C=N1)C1=CC(Cl)=CC(OC2=CN=CN=C2)=C1,5.21
COC1=CC2=C(C=C1OC)CN(CCC1=CC=C(N3N=NC(C4=CC(OCCC5=CC=CN=C5)=CC=C4NC(=O)C4=CC(=O)C5=CC=CC=C5O4)=N3)C=C1)CC2,6.14
CCCCCCCC1O[C@H](CC/C(C)=C/COC2=C3C=COC3=CC3=C2C=CC(=O)O3)C(C)(C)O1,6.89
CCN(C(=O)CC1=CC=C(S(C)(=O)=O)C=C1)C1CCN(CC[C@@H](C2=CC(F)=CC(F)=C2)C2CCN(S(C)(=O)=O)CC2)CC1,5.05
O=S(=O)(NC1=CN=CC(C(F)(F)F)=C1)C1=CC=CC=C1C(F)(F)F,6.21
CC1=C(Cl)N=C(OC[C@H]2C[C@@H]2C2=CC=CC=N2)N=C1NCC1=CN(C)N=C1,5.42
CC1=C(C)C2=CC=C(OCC3=CC=CC(CN(C)CCCC(F)F)=C3)C=C2OC1=O,6.22
C[C@@H](C1=CC=C(C2=CC(=O)N(CCF)C=C2)C=C1)N1CC[C@](CC(C)(C)O)(C2=CC=CC=C2)OC1=O,4.48
CC1=CC(C(=O)NC2CCCCC2)=CC2=C1N=C(C1=C(NCC(O)C3=CC=CC(Cl)=C3)C=CNC1=O)N2,4.96
C1=CC=C2OC(C3=CSC(C4CCN(CC5=NC6=CC=NC=C6N5)CC4)=N3)=CC2=C1,6.07
COC1=CC=C(C(C)=O)C=C1CSC1=NC2=CC=CC=C2N1CC(=O)O,4.43
COC[C@@H](OC1=CC(C[C@@H]2C[S@@+]([O-])C[C@H](NCC3=CC=CC(C(C)(C)C)=C3)[C@H]2O)=CC(F)=C1N)C(F)(F)F,6.85
CCCS(=O)(=O)NC1=CC=C(F)C(C(=O)C2=CNC3=NC=C(C4=CC=C(S(=O)(=O)NC)C=C4)C=C23)=C1F,5.3
O=C(CN1C(=O)C=NC2=CC(Cl)=C(Cl)C=C21)N1CCCC(C2=CC=CC=C2)C1CN1CCCC1,5.92
CN1N=CC=C1C1=CC(Cl)=CC=C1OC1=CC(F)=C(S(=O)(=O)NC2=CSC=N2)C=C1Cl,4.58
CN(C[C@H]1CC2=C(C=CC=C2N2CCN(C3=NC=CC=N3)CC2)CN1)[C@H]1CCCC2=CC=CN=C21,5.47
COCCCC1=CC(CN(C(=O)[C@H]2CNCC[C@@]23OC=CC2=CC=CC=C23)C2CC2)=CC(OCCOC)=C1,5.96
C=CCN1CC(=O)N2[C@@H](CC3=CC=C(O)C=C3)C(=O)N(CC3=CC=CC4=C3N(C)C=C4C3=CC=C(C(=O)NC4=CC=CC(OC)=C4)C=C3)C[C@@H]2N1C(=O)NCC1=CC=CC=C1,5.18
CC1(C)CCC(NCC(C)(C)CCN(C[C@H]2CC3=CC=CC=C3CN2)[C@H]2CCCC3=CC=CN=C32)CC1,5.11
ClC1=CC=C(C2(C3=CC=C(C4=NC=NC5=C4N=CN5)C=C3)CCNCC2)C=C1,5.0
C[C@H](CC1=CC=CC(F)=C1)OC1=NC(N2CCNC[C@H]2C)=NC=C1F,5.31
COCCNC1=NC2=CN=C3C=C(C4=C(C)ON=C4C)C(OC)=CC3=C2N1CC1=CC=CC=N1,4.8
CC(=O)NC1=CC(C2=CC=C(OC[C@@H](N)CC(C)C)C(F)=C2)=CC=N1,5.05
CS(=O)(=O)NC1=CC=CC(CC(=O)NC2=CN=C(C3=CNC4=NC=CC=C34)S2)=C1,4.92
CC(=O)N[C@@H](CC1=CC(F)=CC(F)=C1)[C@H](O)CNC1(C2=CC=CC(C(C)(C)C(F)F)=C2)CC1,7.566666666666667
CC(C)(C)N1N=NN=C1C(C1=CC=CC(NC2=CC=NC3=CC(Cl)=CC=C23)=C1)N1CCCC1,5.84
O=C(C1=CC=CC=C1N1N=CC=N1)N1CCOC[C@H]1CC1=CC=CC(N2N=CC=N2)=C1,4.52
FC(F)(F)C1=CC=C(N(C2=CN=CN=C2)C2CCN(C3=CC=C(C(F)(F)F)C=N3)CC2)C=C1,5.2
ClC1=CC=C(SC2=CC=CC=C2N2CCNCC2)C=C1,5.17
CC(C)N(C)C1=CC=C([C@H]2C[C@@]3(C)[C@@H](CC[C@@]3(O)C#CC(C)(C)C)[C@@H]3CC=C4CC(=O)CC[C@@H]4[C@H]32)C=C1,5.8
O=C(C(O)C1=CC=C(Br)C=C1)N1CCC(NC2=CC=C3NN=CC3=C2)CC1,5.46
COC1=CC=CC(C2=CC(NC(C)=O)=NC(N3N=C(C)C=C3C)=N2)=C1,6.13
CC1=NC(N2CC3=CN(C4=CC=CC(S(C)(=O)=O)=C4)N=C3[C@H]2C(C)C)=CC(C(F)(F)F)=N1,4.68
NCC#CC1=CN=CC=C1C1=CC=CO1,4.96
CCN1N=C2C(C3=CC=C(Cl)C=C3)=C(C3=CC=NC=C3F)C(=O)N(CC3=CC=C(C(F)(F)F)N=C3C)N2C1=O,5.16
O[C@]1(C2=CC=C(F)C(F)=C2)CCNC[C@@H]1C1=NOC(C2=C(Cl)C=CC=C2Cl)=C1,4.77
CC1=CNC(C2=CC(OC3=CC=C4C(=C3)N=C(NC3=CC(C(F)(F)F)=CC=C3F)N4C)=CC=N2)=N1,5.47
CO[C@H]1C[C@H](O[C@H]2[C@H](C)[C@@H](O[C@@H]3O[C@H](C)C[C@H](N(C)C)[C@H]3OC(C)=O)[C@@H](C)C[C@@]3(CO3)C(=O)[C@H](C)[C@@H](OC(C)=O)[C@@H](C)[C@@H](C)OC(=O)[C@@H]2C)O[C@@H](C)[C@@H]1OC(C)=O,4.658
CC1=C(CC2=NN(CC3=CC=C(F)C=C3F)C(=O)C=C2)C2=CC(F)=CC=C2N1CC(=O)O,4.8
CC(=O)N1C2CCC1CN(C(=O)CC1([C@H]3CO[C@H]4CCC[C@H]4N3S(=O)(=O)C3=CC=C(Cl)C=C3)CC1)C2,4.67
COC1=CC=CC(CC(=O)NC2=NC(C3=CC=NC(C)=C3)=CS2)=C1,5.13
COC1=NC(C2=CSC(NC3=C4CCCC4=NN3CC(F)(F)F)=N2)=CC=C1N1C=NC(C)=C1,5.85
CNC(=O)NCCC[C@]1(C2=CC=C(F)C=C2)CCN([C@@H](C)C2=CC=C(C3=CC=C(F)C=C3F)C=C2)C(=O)O1,6.22
CC1=NC2=CN=C3C=C(F)C(C4=CC=C(OC5=NC=CC=N5)C=C4Cl)=CC3=C2N1[C@H]1CC[C@](N)(CC#N)CC1,4.92
COCCOC1CCN(C2=CC(C)=C3NC(C4=C(NC[C@@H](O)C5=CC=CC(Cl)=C5)C=CNC4=O)=NC3=C2)CC1,9.05
CC(C)C[C@H](C=O)NC(=O)[C@@H](NS(=O)(=O)C1=CC=C(F)C=C1)C(C)C,4.09
FC1=CC=C2SC3=C(CCN(CC4=CC=CN=C4)C3)C2=C1,5.1
COC1=CC(OC)=C(C(=O)C(C)=O)C=C1OC,4.13
NC1=CC(CC2=NN(CC3=CC=CC(CC4=CC=CC=C4)=C3)C=C2)=C2NN=NC2=N1,7.43
